OrderNumber,OrderDate,Channel,Warehouse Code,Order Quantity,Unit Price,Unit Cost,Customer Name,Customer Email,Product Name,Channel Code,Channel Alt. Name,Channel Importance,Channel Prior Code,Delivery City
SO - 000101,2014-06-01,Distributor,NXH382,5,1963.1000000000001,1001.181,Gabvine Ltd,aturner9s@webs.com,Product 12,DIST,Regional,Mid,REGIONS,"Glasgow, UK"
SO - 000102,2014-06-01,Wholesale,GUT930,5,3939.6,3348.66,Cadila Ltd,joliver2c@usda.gov,Product 13,WHOLE,Local,Low,SUPER,"Kraków, Poland"
SO - 000103,2014-06-01,Export,GUT930,10,1775.5,781.22,Amerisourc Corp,kcarr11@ustream.tv,Product 5,EXP,International,High,INTL,"Leeds, UK"
SO - 000104,2014-06-01,Export,AXW291,6,2324.9,1464.6870000000001,NARS Group,bhamilton70@multiply.com,Product 11,EXP,International,High,INTL,"Dnepropetrovsk, Ukraine"
SO - 000105,2014-06-01,Wholesale,AXW291,6,1822.4,1476.1440000000002,Mita Corp,rfoxlk@slideshare.net,Product 7,WHOLE,Local,Low,SUPER,"Dnepropetrovsk, Ukraine"
SO - 000106,2014-06-01,Wholesale,NXH382,6,1038.5,446.555,Roomm Company,hbishop6d@goodreads.com,Product 13,WHOLE,Local,Low,SUPER,"Stuttgart, Germany"
SO - 000107,2014-06-01,Distributor,AXW291,10,1192.6000000000001,536.6700000000001,Snaptags Ltd,jsullivangr@sun.com,Product 12,DIST,Regional,Mid,REGIONS,"LONDON, UK"
SO - 000108,2014-06-01,Distributor,NXH382,10,1815.7,1525.1879999999999,Tagfeed Ltd,srichardson8l@ucla.edu,Product 7,DIST,Regional,Mid,REGIONS,"Dortmund, Germany"
SO - 000109,2014-06-02,Wholesale,NXH382,7,3879.3,2211.201,Tambee Company,hturnerw@answers.com,Product 2,WHOLE,Local,Low,SUPER,"Poznan, Poland"
SO - 000110,2014-06-02,Wholesale,NXH382,6,1956.4,1212.968,Holston Company,chamilton3z@geocities.jp,Product 7,WHOLE,Local,Low,SUPER,"Glasgow, UK"
SO - 000111,2014-06-02,Export,AXW291,12,201.0,124.62,Jayo Company,mreyes1q@umn.edu,Product 6,EXP,International,High,INTL,"MADRID, Spain"
